いしゃです,they are a doctor,ishya desu
ひとです,they are a person,hito desu
せんせいです,they are a teacher,sensei desu
がくせい,they are a student,gakusei desu
べんごし,they are a lawyer,bengoshi desu
やさしいです,they are nice,yasashii desu
かっこいいです,they are cool,kakoii desu
かっこいいがくせい,a cool student,kakoii gakusei
かっこいいいしゃ,a cool doctor,kakoii ishya
かっこいいべんごし,a cool lawyer,kakoii bengoshi
かっこいいせんせい,a cool teacher,kakoii sensei
かっこいいひと,a cool person,kakoii hito
やさしいべんごし,a nice lawyer,yasashii bengoshi
やさしいひと,a nice person,yasashii hito
やさしいがくせい,a nice student,yasashii gakusei
やさしいせんせい,a nice teacher,yasashii sensei
やさしいいしゃ,a nice doctor,yasashii ishya
やさしいいしゃです,they are a nice doctor,yasashii ishya desu
やさしいべんごしです,they are a nice lawyer,yasashii bengoshi desu
やさしいがくせいです,they are a nice student,yasashii gakusei desu
やさしいせんせいです,they are a nice teacher,yasashii sensei desu
やさしいひとです,they are a nice person,yasashii hito desu
かっこいいいしゃです,they are a cool doctor,kakoii ishya desu
かっこいいべんごしです,they are a cool lawyer,kakoii bengoshi desu
かっこいいがくせいです,they are a cool student,kakoii gakusei desu
かっこいいせんせいです,they are a cool teacher,kakoii sensei desu
かっこいいひとです,they are a cool person,kakoii hito desu
やさしいせんせいとやさしいいしゃ,a nice teacher and a nice doctor,yasashii sensei to yasashii ishya
やさしいせんせいとがくせい,a nice teacher and a nice student,yasashii sensei to yasashii gakusei
やさしいせんせいとべんごし,a nice teacher and a nice lawyer,yasashii sensei to yasashii bengoshi
やさしいせんせいとひと,a nice teacher and a nice person,yasashii sensei to yasashii hito
やさしいいしゃとやさしいがくせい,a nice doctor and a nice student,yasashii ishya to gakusei
やさしいいしゃとやさしいせんせい,a nice doctor and a nice teacher,yasashii ishya to sensei
やさしいいしゃとやさしいひと,a nice doctor and a nice person,yasashii ishya to hito
やさしいいしゃとやさしいべんごし,a nice doctor and a nice lawyer,yasashii ishya to bengoshi
やさしいがくせいとやさしいいしゃ,a nice student and a nice doctor,yasashii gakusei to ishya 
やさしいがくせいとやさしいせんせい,a nice student and a nice teacher,yasashii gakusei to sensei
やさしいがくせいとやさしいひと,a nice student and a nice person,yasashii gakusei to hito
やさしいがくせいとやさしいべんごし,a nice student and a nice lawyer,yasashii gakusei to bengoshi
やさしいひととやさしいがくせい,a nice person and a nice student,yasashii hito to gakusei 
やさしいひととやさしいいしゃ,a nice person and a nice doctor,yasashii hito to ishya
やさしいひととやさしいせんせい,a nice person and a nice teacher,yasashii hito to sensei
やさしいひととやさしいべんごし,a nice person and a nice lawyer,yasashii hito to bengoshi
やさしいべんごしとやさしいがくせい,a nice lawyer and a nice student,yasashii bengoshi to yasashii gakusei 
やさしいべんごしとやさしいいしゃ,a nice lawyer and a nice doctor,yasashii bengoshi to yasashii ishya
やさしいべんごしとやさしいせんせい,a nice lawyer and a nice teacher,yasashii bengoshi to yasashii sensei
やさしいべんごしとやさしいひと,a nice lawyer and a nice person,yasashii bengoshi to yasashii hito
やさしいせんせいとかっこいいがくせい,a nice teacher and a cool student,yasashii sensei to kakoii gakusei
