あ,a
い,i
う,u
え,e
お,o
か,ka
き,ki
く,ku
け,ke
こ,ko
さ,sa
し,shi
す,su
せ,se
そ,so
た,ta
ち,chi
つ,tsu
て,te
と,to
な,na
に,ni
ぬ,nu
ね,ne
の,no
は,ha
ひ,hi
ふ,fu
へ,he
ほ,ho
ま,ma
み,mi
む,mu
め,me
も,mo
や,ya
ゆ,yu
よ,yo
ら,ra
り,ri
る,ru
れ,re
ろ,ro
わ,wa
を,wo
ん,n
が,ga
ぎ,gi
ぐ,gu
げ,ge
ご,go
ざ,za
じ,ji
ず,zu
ぜ,ze
ぞ,zo
だ,da
ぢ,di
づ,du
で,de
ど,do
ば,ba
び,bi
ぶ,bu
べ,be
ぼ,bo
ぱ,pa
ぴ,pi
ぷ,pu
ぺ,pe
ぽ,po
きゃ,kya
ぎゃ,gya
きゅ,kyu
ぎゅ,gyu
きょ,kyo
ぎょ,gyo
しゃ,sha
じゃ,ja
しゅ,shu
じゅ,ju
しょ,sho
じょ,jo
ちゃ,cha
ぢゃ,ja
ちゅ,chu
ぢゅ,ju
ちょ,cho
ぢょ,jo
にゃ,nya
にゅ,nyu
にょ,nyo
ひゃ,hya
びゃ,bya
ぴゃ,pya
ひゅ,hyu
びゅ,byu
ぴゅ,pyu
ひょ,hyo
びょ,byo
ぴょ,pyo
みゃ,mya
みゅ,myu
みょ,myo
りゃ,rya
りゅ,ryu
りょ,ryo 
