ア,a
イ,i
ウ,u
エ,e
オ,o
カ,ka
キ,ji
ク,ku
ケ,ke
コ,ko
サ,sa
シ,shi
ス,su
セ,se
ソ,so
タ,ta
チ,chi
ツ,tsu
テ,te
ト,to
ナ,na
ニ,ni
ヌ,nu
ネ,ne
ノ,no
ハ,ha
ヒ,hi
フ,fu
ヘ,he
ホ,ho
マ,ma
ミ,mi
ム,mu
メ,me
モ,mo
ヤ,ya
ユ,yu
yo,yo
ラ,ra
リ,ri
ル,ru
レ,re
ロ,ro
ワ,wa
ヲ,wo
ン,n
ガ,ga
ギ,gi
グ,gu
ゲ,ge
ゴ,go
ザ,za
ジ,ji
ズ,zu
ゼ,ze
ゾ,zo
ダ,da
ヂ,di
ヅ,du
デ,de
ド,do
バ,ba
ビ,bi
ブ,bu
ベ,be
ボ,bo
パ,pa
ピ,pi
プ,pu
ペ,pe
ポ,po
キャ,kya
ギャ,gya
キュ,kyu
ギュ,gyu
キョ,kyo
ギョ,gyo
シャ,sha
ジャ,ja
シュ,shu
ジュ,ju
ショ,sho
ジョ,jo
チャ,cha
ぢゃ,ja
チュ,chu
ヂュ,ju
チョ,cho
ヂョ,jo
ニャ,nya
ニュ,nyu
ニョ,nyo
ヒャ,hya
ビャ,bya
ピャ,pya
ヒュ,hyu
ビュ,byu
ピュ,pyu
ヒョ,hyo
ビョ,byo
ピョ,pyo
ミャ,mya
ミュ,myu
ミョ,myo
リャ,rya
リュ,ryu
リョ,ryo 
